,employee,teacher,student,actor,doctor,dog,cat,horse,bird,fish,star,flower,tree,dirt,vegetable,house,school,factory,station,park,movie,book,music,PC,TV
employee,0.03917533674001784,0.03167599808139282,0.03184053309968579,0.02534355862056508,0.02868804189007719,0.01606893404734322,0.015493612148559613,0.014888338613582769,0.01958808586701102,0.020384367642015455,0.012877742994869306,0.018643879319684236,0.018571377509909986,0.015107254968176553,0.01985295188599385,0.02189539979696737,0.029283513719212912,0.01608218666717172,0.023321660339711656,0.016964292811018824,0.02783962155282227,0.019547025422729528,0.024187161112993565,0.03125105141230203,0.02910663088286848
teacher,0.03167599808139282,0.03917533674001784,0.03686490152647985,0.01936342602730618,0.024636117489496574,0.01234013973516326,0.011785995865707284,0.009226206611265567,0.014685787598600581,0.0222514326980187,0.0076506482011038865,0.01679080143312206,0.01700598221091227,0.015606912845469917,0.015469303122653912,0.014330661754199767,0.03356474407366768,0.012437940764533487,0.021412361284617456,0.012713964894030573,0.022942288426301107,0.021638845433279687,0.018995220896437855,0.02571385404369878,0.024723541909817202
student,0.03184053309968579,0.03686490152647985,0.03917533674001784,0.020875862150478947,0.024841025579156528,0.011656205766611017,0.011035031969965178,0.007649388387057525,0.013234789801150566,0.020384497091456986,0.0056495747863891665,0.015309864870032042,0.015484089861163345,0.014026956298497872,0.013544991921750411,0.013044939987264272,0.03357725076766522,0.013192470033392141,0.019615439274968904,0.012131806009688096,0.023888551762977397,0.023759986339575895,0.020442791482501763,0.027112351448563957,0.02544368099931433
actor,0.02534355862056508,0.01936342602730618,0.020875862150478947,0.03917533674001784,0.027752299256034167,0.017063800586305713,0.016588969222002863,0.013975597058103063,0.019363525491058995,0.02066560619554791,0.008738791651547746,0.017602453984152708,0.01738366262213329,0.014492988526858083,0.01720976450664163,0.009561856944732085,0.021903928765123388,0.012957492466563747,0.017687448424954996,0.01729003014534228,0.03425178033703284,0.024043567868952405,0.03295346048769153,0.03026312591358512,0.03349672403765295
doctor,0.02868804189007719,0.024636117489496574,0.024841025579156528,0.027752299256034167,0.03917533674001784,0.011705819996805141,0.011902718385870831,0.012431322466947618,0.015514312529967472,0.019799254898931442,0.010785299692740169,0.01539668332305752,0.015424349451134894,0.013994483581915382,0.016654162971136824,0.020169471727994843,0.02705667009346517,0.012242271420593212,0.02368030207400164,0.012164308438897656,0.028945583749979464,0.02403451814090025,0.023310508748463635,0.02722589132279455,0.028307651707815726
dog,0.01606893404734322,0.01234013973516326,0.011656205766611017,0.017063800586305713,0.011705819996805141,0.03917533674001784,0.03715770638070903,0.03313477480222333,0.029728705647971088,0.018611706926592277,0.006456581699141727,0.026922684193563102,0.026211995457634998,0.021289034278925124,0.014626203354456729,0.008687282805403727,0.009522833855117322,0.0173899870989284,0.006704305264653571,0.03231506061340238,0.018999731367843317,0.015072614797804251,0.015060607800123738,0.016584143419515748,0.01724340490802438
cat,0.015493612148559613,0.011785995865707284,0.011035031969965178,0.016588969222002863,0.011902718385870831,0.03715770638070903,0.03917533674001784,0.032737325275045116,0.02881248034755086,0.017696403030105515,0.005916831595433825,0.02566006030383911,0.025605240775741188,0.0206892372199077,0.014051858058575742,0.009464353029870934,0.009032329268647003,0.01962607147831263,0.006716454520596479,0.031862407614651186,0.019216378185045225,0.01495496022737803,0.015144867837701217,0.016479478372893756,0.01748502644556774
horse,0.014888338613582769,0.009226206611265567,0.007649388387057525,0.013975597058103063,0.012431322466947618,0.03313477480222333,0.032737325275045116,0.03917533674001784,0.0297577189070399,0.019950880543181098,0.003788421135452337,0.026897846769029236,0.025765614255195832,0.021432292996212576,0.01169166410898595,0.012337215636160071,0.005326279310048608,0.011795529494333663,0.007418840022586089,0.02827709705070135,0.015659025944207705,0.012392978251586799,0.010784212006371894,0.016120489372566955,0.01435845528424148
bird,0.01958808586701102,0.014685787598600581,0.013234789801150566,0.019363525491058995,0.015514312529967472,0.029728705647971088,0.02881248034755086,0.0297577189070399,0.03917533674001784,0.024732410213377957,0.012442025169775963,0.0342071419157285,0.03264802162741442,0.025997438383911164,0.021335679908591688,0.012678758704163268,0.010555304198368708,0.008484009740563684,0.011682161611710044,0.03197856536640427,0.01835362444217093,0.012234950988404016,0.013786287732371269,0.019395169755894212,0.016998749478719648
fish,0.020384367642015455,0.0222514326980187,0.020384497091456986,0.02066560619554791,0.019799254898931442,0.018611706926592277,0.017696403030105515,0.019950880543181098,0.024732410213377957,0.03917533674001784,0.013325789538710147,0.02462681269910207,0.02176690043385988,0.030122218329343295,0.008440701669554424,0.020164480388950124,0.02003791488888708,0.008000067739071446,0.016360616398639317,0.020493660220365372,0.0182340844932454,0.010262525589906223,0.01265649165373578,0.01649711793221124,0.016399556628091127
