,employee,teacher,student,actor,doctor,dog,cat,horse,bird,fish,star,flower,tree,dirt,vegetable,house,school,factory,station,park,movie,book,music,PC,TV
employee,0.04039085041921012,0.027524575669223714,0.027633076822701157,0.02850925259739816,0.026744096167610837,0.017722559621744387,0.018236186513561466,0.018570812125203354,0.015311040854442088,0.012217147351246915,0.014819037811247944,0.016049353329393178,0.01498800162974848,0.016000245222062708,0.01690716383979011,0.018171537544983046,0.027550317990864184,0.028396784264440537,0.019569537266053573,0.005665504237137041,0.028958992412904516,0.027775302198689983,0.02703252448313933,0.03187136580827693,0.028628541992185126
teacher,0.027524575669223714,0.04039085041921012,0.03477749617654679,0.029385969802365613,0.03618806027955649,0.021158887085593076,0.021396908907523784,0.021947666256984022,0.016979885453279973,0.013367089517282407,0.019742351007387894,0.01899647726093591,0.018904521347575556,0.018419476372932286,0.018687818587649483,0.019752782066727086,0.037087056117285654,0.02521429026673262,0.018091893109171815,0.01102775431400399,0.029478690377450406,0.03504824184419868,0.02824717715603869,0.027531840756723422,0.027578076058923366
student,0.027633076822701157,0.03477749617654679,0.04039085041921012,0.027104667890502764,0.032613840826973634,0.018038784534586752,0.018605923812485815,0.020105162719490605,0.0163198023834686,0.011153877540109033,0.01703293518983617,0.016777447548531672,0.01616555305422582,0.016419312264448385,0.01676184417349877,0.016896860195464495,0.03729453380616242,0.022620106441619995,0.017346366741885336,0.013360290581953753,0.028343182176540256,0.034946708581651054,0.027308883027146316,0.02740692966169034,0.025682319573171995
actor,0.02850925259739816,0.029385969802365613,0.027104667890502764,0.04039085041921012,0.030390373709364284,0.017855076261358203,0.017738157405185757,0.018539946559429542,0.015164289063614035,0.013654288443115156,0.01310485047138752,0.009874533582761403,0.012803567663804836,0.011390305037221785,0.0104428195207949,0.0174889430686769,0.02859522826634646,0.03177394656280306,0.015187212266079282,0.00670930466488627,0.03674881650481525,0.029470303367358383,0.03621742483492703,0.03127278280766096,0.03673915701583159
doctor,0.026744096167610837,0.03618806027955649,0.032613840826973634,0.030390373709364284,0.04039085041921012,0.02162001653042748,0.02186209767970061,0.022458269578947247,0.015465790124177599,0.013029845000202756,0.01878131421767246,0.01814984227914392,0.018760600328327916,0.01788202043662258,0.01811143896671097,0.019930138393691375,0.03449710475940014,0.02473982873511915,0.015678601065145178,0.00817537002858506,0.03121918180137921,0.03386206950185399,0.02915752379854796,0.0269472905694045,0.027943980045544076
dog,0.017722559621744387,0.021158887085593076,0.018038784534586752,0.017855076261358203,0.02162001653042748,0.04039085041921012,0.03796949268042036,0.03530323534896578,0.016876303317285606,0.012103949240919752,0.016641673353739662,0.016890776309533274,0.016304208974763423,0.013604523185165876,0.016058371127659888,0.03491533749985069,0.01968040229308996,0.01607587922311692,0.021919191323766126,0.015777004447565152,0.017864575721410952,0.017596557205177128,0.01866620920803605,0.020739617658830194,0.01778932176673416
cat,0.018236186513561466,0.021396908907523784,0.018605923812485815,0.017738157405185757,0.02186209767970061,0.03796949268042036,0.04039085041921012,0.034806208598415996,0.015746756574236166,0.010817596163493964,0.0158738804614397,0.016153751976447226,0.015606456454435948,0.012875878238481013,0.015478946641115196,0.03297568487700038,0.020217915710603548,0.015346723046660772,0.021822304976982333,0.014275719812652604,0.017969982641283057,0.01828191325968142,0.01866613215198081,0.020085553247211948,0.01747175698731626
horse,0.018570812125203354,0.021947666256984022,0.020105162719490605,0.018539946559429542,0.022458269578947247,0.03530323534896578,0.034806208598415996,0.04039085041921012,0.01714473795246171,0.01286753911352323,0.017815806558322874,0.017049974841767956,0.017120852325948673,0.014304993021489104,0.01645433410551815,0.030496715849986575,0.021096167576223856,0.016916387895214827,0.020909463970613724,0.015658168679867284,0.01837587729030101,0.01910287559404665,0.01960294229614528,0.020786344442269556,0.01862847060071236
bird,0.015311040854442088,0.016979885453279973,0.0163198023834686,0.015164289063614035,0.015465790124177599,0.016876303317285606,0.015746756574236166,0.01714473795246171,0.04039085041921012,0.033149139068173336,0.03211970164888123,0.03171737349450203,0.0320268035041629,0.0328006057140232,0.030380014954879866,0.015809967292128687,0.017621642418907645,0.012993409688343404,0.01594615544098996,0.0275353978877853,0.015416707287718021,0.017732639125249052,0.016332327037443462,0.015455541320038728,0.01464502186186354
fish,0.012217147351246915,0.013367089517282407,0.011153877540109033,0.013654288443115156,0.013029845000202756,0.012103949240919752,0.010817596163493964,0.01286753911352323,0.033149139068173336,0.04039085041921012,0.03325964203529968,0.030828120169983278,0.03393397455756328,0.032402088366354304,0.03084193052962652,0.010734370709566184,0.012830698914564263,0.01168778290994921,0.012663207709559435,0.024345827985267673,0.013091912645146121,0.012711526904715695,0.013873171831485107,0.012966799276619832,0.01354251987521463
star,0.014819037811247944,0.019742351007387894,0.01703293518983617,0.01310485047138752,0.01878131421767246,0.016641673353739662,0.0158738804614397,0.017815806558322874,0.03211970164888123,0.03325964203529968,0.04039085041921012,0.03303233713317214,0.03612819218909611,0.03494927140679158,0.03335481834386837,0.013905938577308326,0.019033240747671938,0.010821654083458664,0.014371388263130589,0.023474670020905797,0.01252998841412242,0.017233007257848976,0.01536400370731877,0.012674063719031271,0.014616888932609193
flower,0.016049353329393178,0.01899647726093591,0.016777447548531672,0.009874533582761403,0.01814984227914392,0.016890776309533274,0.016153751976447226,0.017049974841767956,0.03171737349450203,0.030828120169983278,0.03303233713317214,0.04039085041921012,0.03501557236148465,0.03621882394988098,0.035476809312212705,0.015010171879580411,0.018378319677565595,0.01150278271270145,0.013394858971730483,0.02225922728477096,0.00931842270275151,0.019038978121505568,0.012151798906290982,0.012153625305518792,0.011655381569166696
tree,0.01498800162974848,0.018904521347575556,0.01616555305422582,0.012803567663804836,0.018760600328327916,0.016304208974763423,0.015606456454435948,0.017120852325948673,0.0320268035041629,0.03393397455756328,0.03612819218909611,0.03501557236148465,0.04039085041921012,0.035816415240307126,0.034901490355272666,0.014035209974661504,0.0180806912636766,0.01193813827448072,0.014254030194980942,0.024556210404258347,0.012357562813337171,0.017294995143546408,0.014956093549544882,0.013221622932973832,0.01406373271317304
dirt,0.016000245222062708,0.018419476372932286,0.016419312264448385,0.011390305037221785,0.01788202043662258,0.013604523185165876,0.012875878238481013,0.014304993021489104,0.0328006057140232,0.032402088366354304,0.03494927140679158,0.03621882394988098,0.035816415240307126,0.04039085041921012,0.03648752191315345,0.011749759886424044,0.01792890855414131,0.01145544607607987,0.013640249273704334,0.023276946783519964,0.010917193733132678,0.01821128299577052,0.013518882038719301,0.013181086439570854,0.012906188529169305
vegetable,0.01690716383979011,0.018687818587649483,0.01676184417349877,0.0104428195207949,0.01811143896671097,0.016058371127659888,0.015478946641115196,0.01645433410551815,0.030380014954879866,0.03084193052962652,0.03335481834386837,0.035476809312212705,0.034901490355272666,0.03648752191315345,0.04039085041921012,0.013566188488858811,0.01804206276563272,0.01097299224465114,0.013558044181715263,0.023334374104748534,0.009507644170385642,0.018767847279674822,0.01257358213829574,0.012641295669201157,0.01247351029504817
house,0.018171537544983046,0.019752782066727086,0.016896860195464495,0.0174889430686769,0.019930138393691375,0.03491533749985069,0.03297568487700038,0.030496715849986575,0.015809967292128687,0.010734370709566184,0.013905938577308326,0.015010171879580411,0.014035209974661504,0.011749759886424044,0.013566188488858811,0.04039085041921012,0.01845045371501819,0.017351392272874706,0.020544373193526783,0.013677661281354864,0.017584175802418847,0.016703932030563206,0.018460989748195707,0.023476113269586697,0.017778610927001327
school,0.027550317990864184,0.037087056117285654,0.03729453380616242,0.02859522826634646,0.03449710475940014,0.01968040229308996,0.020217915710603548,0.021096167576223856,0.017621642418907645,0.012830698914564263,0.019033240747671938,0.018378319677565595,0.0180806912636766,0.01792890855414131,0.01804206276563272,0.01845045371501819,0.04039085041921012,0.023503694013622966,0.017747852673208997,0.01257976049520092,0.029529959031179637,0.035557243853022315,0.028419625523202936,0.027138282383419185,0.02681532434314854
factory,0.028396784264440537,0.02521429026673262,0.022620106441619995,0.03177394656280306,0.02473982873511915,0.01607587922311692,0.015346723046660772,0.016916387895214827,0.012993409688343404,0.01168778290994921,0.010821654083458664,0.01150278271270145,0.01193813827448072,0.01145544607607987,0.01097299224465114,0.017351392272874706,0.023503694013622966,0.04039085041921012,0.01515604278279653,0.007412849758007441,0.029312627635000123,0.025255962065054254,0.029821334993851915,0.032017490037391336,0.0344468688262904
station,0.019569537266053573,0.018091893109171815,0.017346366741885336,0.015187212266079282,0.015678601065145178,0.021919191323766126,0.021822304976982333,0.020909463970613724,0.01594615544098996,0.012663207709559435,0.014371388263130589,0.013394858971730483,0.014254030194980942,0.013640249273704334,0.013558044181715263,0.020544373193526783,0.017747852673208997,0.01515604278279653,0.04039085041921012,0.012620414864603805,0.01625921506963711,0.01419645025962962,0.015993822107087538,0.01918870109610967,0.016538039735610483
park,0.005665504237137041,0.01102775431400399,0.013360290581953753,0.00670930466488627,0.00817537002858506,0.015777004447565152,0.014275719812652604,0.015658168679867284,0.0275353978877853,0.024345827985267673,0.023474670020905797,0.02225922728477096,0.024556210404258347,0.023276946783519964,0.023334374104748534,0.013677661281354864,0.01257976049520092,0.007412849758007441,0.012620414864603805,0.04039085041921012,0.006040890463721867,0.012447410303236015,0.00907211113680148,0.009128598424682895,0.008444834566344851
movie,0.028958992412904516,0.029478690377450406,0.028343182176540256,0.03674881650481525,0.03121918180137921,0.017864575721410952,0.017969982641283057,0.01837587729030101,0.015416707287718021,0.013091912645146121,0.01252998841412242,0.00931842270275151,0.012357562813337171,0.010917193733132678,0.009507644170385642,0.017584175802418847,0.029529959031179637,0.029312627635000123,0.01625921506963711,0.006040890463721867,0.04039085041921012,0.030185163852099524,0.03691824356719301,0.03070559032473728,0.03454181543115034
book,0.027775302198689983,0.03504824184419868,0.034946708581651054,0.029470303367358383,0.03386206950185399,0.017596557205177128,0.01828191325968142,0.01910287559404665,0.017732639125249052,0.012711526904715695,0.017233007257848976,0.019038978121505568,0.017294995143546408,0.01821128299577052,0.018767847279674822,0.016703932030563206,0.035557243853022315,0.025255962065054254,0.01419645025962962,0.012447410303236015,0.030185163852099524,0.04039085041921012,0.028916384622503098,0.027367105036603487,0.028340232044618177
music,0.02703252448313933,0.02824717715603869,0.027308883027146316,0.03621742483492703,0.02915752379854796,0.01866620920803605,0.01866613215198081,0.01960294229614528,0.016332327037443462,0.013873171831485107,0.01536400370731877,0.012151798906290982,0.014956093549544882,0.013518882038719301,0.01257358213829574,0.018460989748195707,0.028419625523202936,0.029821334993851915,0.015993822107087538,0.00907211113680148,0.03691824356719301,0.028916384622503098,0.04039085041921012,0.030605954111843504,0.03503375001572303
PC,0.03187136580827693,0.027531840756723422,0.02740692966169034,0.03127278280766096,0.0269472905694045,0.020739617658830194,0.020085553247211948,0.020786344442269556,0.015455541320038728,0.012966799276619832,0.012674063719031271,0.012153625305518792,0.013221622932973832,0.013181086439570854,0.012641295669201157,0.023476113269586697,0.027138282383419185,0.032017490037391336,0.01918870109610967,0.009128598424682895,0.03070559032473728,0.027367105036603487,0.030605954111843504,0.04039085041921012,0.03259848418211034
TV,0.028628541992185126,0.027578076058923366,0.025682319573171995,0.03673915701583159,0.027943980045544076,0.01778932176673416,0.01747175698731626,0.01862847060071236,0.01464502186186354,0.01354251987521463,0.014616888932609193,0.011655381569166696,0.01406373271317304,0.012906188529169305,0.01247351029504817,0.017778610927001327,0.02681532434314854,0.0344468688262904,0.016538039735610483,0.008444834566344851,0.03454181543115034,0.028340232044618177,0.03503375001572303,0.03259848418211034,0.04039085041921012
