,employee,teacher,student,actor,doctor,dog,cat,horse,bird,fish,star,flower,tree,dirt,vegetable,house,school,factory,station,park,movie,book,music,PC,TV
employee,0.03842585133344876,0.01758633725712177,0.02084339505081428,0.017767926919452472,0.016125591087748838,0.00709773268663122,0.0075713933375628,0.009020440912307456,0.01383526914284339,0.013906412450126197,0.010368249411331767,0.005565836970158153,0.00517888419436769,0.006553876596983199,0.004653381000086755,0.021064411377609383,0.018138520098552116,0.014033866704234732,0.012066543029478231,0.013654587849629914,0.020192489535046376,0.015440696613987948,0.01260521575899317,0.010056959065892084,0.020440531643857947
teacher,0.01758633725712177,0.03842585133344876,0.03371181479080214,0.025036080586680658,0.035353774143804806,0.014303065837192042,0.01380283788153679,0.012356076681922283,0.014044465798682331,0.014816914519661738,0.01781244487947057,0.012678678706039097,0.013986207448022814,0.015754702078409066,0.013938594707880662,0.0237351567105518,0.03403611614705379,0.016166961937195218,0.0177328856873779,0.02402569043905844,0.024359571698472065,0.03274404200719293,0.022293666783666472,0.021266157379964425,0.02410575651421725
student,0.02084339505081428,0.03371181479080214,0.03842585133344876,0.023547365134262803,0.031247049368086147,0.01928159879792782,0.018829585753940007,0.018270245732775733,0.020114944752509162,0.01928171731787589,0.020061803578913608,0.015874722280000003,0.016338922418610072,0.01761305784795301,0.0168983084509129,0.02586594464429372,0.03561086475348894,0.019521852637846625,0.020385230611569768,0.026846821703151426,0.023476703666099354,0.02769077887468071,0.022297154381616276,0.0207233347378605,0.02236073188342765
actor,0.017767926919452472,0.025036080586680658,0.023547365134262803,0.03842585133344876,0.024679333223043606,0.008667886582937271,0.008898093011674109,0.008538320363051074,0.009591762731620504,0.01241040335539862,0.013774584558077924,0.015974455252162945,0.016275892497946955,0.01563096749955005,0.015073065791041663,0.01867285332993032,0.02239483657201969,0.0123832608745915,0.016592697315692958,0.020935768678934024,0.0353542692967091,0.024541995901038463,0.01655586773417794,0.013763189687763123,0.03520521373091178
doctor,0.016125591087748838,0.035353774143804806,0.031247049368086147,0.024679333223043606,0.03842585133344876,0.01289465147204634,0.012389191804710209,0.010751317324449713,0.012022601908269974,0.012725836873328972,0.015444426929923257,0.010316003698956643,0.011696511683236877,0.013911545130680297,0.011615145956815946,0.021856684769049468,0.03128724249546797,0.013979766344141154,0.014978174339645444,0.022254087198409142,0.02343623569716545,0.03172971349976358,0.02089058441435275,0.018907966024872627,0.023374856719890383
dog,0.00709773268663122,0.014303065837192042,0.01928159879792782,0.008667886582937271,0.01289465147204634,0.03842585133344876,0.0370032671648532,0.03531682254548519,0.030232046770084117,0.027324698181397298,0.02044032472743115,0.016806287883215604,0.01717249004922817,0.02231757755374643,0.017224440786655554,0.01085943260632231,0.019170098083049144,0.008705395286262772,0.01388736149187603,0.012258052724099987,0.008498523700213013,0.006236031936972461,0.005204860261062073,0.010255030420735743,0.008378431805787914
cat,0.0075713933375628,0.01380283788153679,0.018829585753940007,0.008898093011674109,0.012389191804710209,0.0370032671648532,0.03842585133344876,0.03553477140161461,0.03011659850484829,0.027478175853332548,0.01996672014174315,0.017038907232535754,0.01754545304094306,0.022518636056099973,0.018021389125707,0.011660980435537267,0.018895466246645842,0.008252666304774062,0.013276076957141569,0.01217605510531524,0.008371383549121092,0.005816648316749627,0.005174065098831088,0.009983070381292727,0.008369155811251503
horse,0.009020440912307456,0.012356076681922283,0.018270245732775733,0.008538320363051074,0.010751317324449713,0.03531682254548519,0.03553477140161461,0.03842585133344876,0.03199018767790598,0.029247229039895427,0.022231907759273205,0.018756165420621588,0.01892702480756741,0.02428166518143375,0.018684746621362273,0.01215361381520524,0.01889580406907878,0.009900049444324707,0.014633308567230174,0.014573255590285765,0.007713393204934662,0.004294198125259802,0.004069831400945731,0.010325218790230527,0.007770902256227553
bird,0.01383526914284339,0.014044465798682331,0.020114944752509162,0.009591762731620504,0.012022601908269974,0.030232046770084117,0.03011659850484829,0.03199018767790598,0.03842585133344876,0.03097279939229951,0.029578200672160184,0.021488063579023966,0.02093417854279915,0.023462811179447134,0.020725826834319262,0.013218001657927709,0.020266002243812357,0.0139411071165849,0.013108564234530277,0.014039594251066219,0.009991365783713135,0.006279367694680085,0.006463594555062922,0.013015329673916696,0.01004860401163973
fish,0.013906412450126197,0.014816914519661738,0.01928171731787589,0.01241040335539862,0.012725836873328972,0.027324698181397298,0.027478175853332548,0.029247229039895427,0.03097279939229951,0.03842585133344876,0.026222260806615896,0.02453796952358367,0.02478769353338,0.028252545255891603,0.02513299542755995,0.01452207319723469,0.019352427388085135,0.010711134999036944,0.01035080263165506,0.013049309430754639,0.013673028953953368,0.01073497426469026,0.010564868302576448,0.015249558916052116,0.013493229916588613
