,employee,teacher,student,actor,doctor,dog,cat,horse,bird,fish,star,flower,tree,dirt,vegetable,house,school,factory,station,park,movie,book,music,PC,TV
employee,0.039406016227155616,0.019784392295589613,0.0214496483601053,0.013373784800398174,0.02135686934167753,0.01443437995780733,0.012059181010193019,0.01068368724569152,0.01014103039421025,0.014781971857272636,0.010798766554630905,0.014387007149922436,0.01359683967003384,0.012282807196891083,0.013295182842898767,0.018842762331249298,0.018072332166801788,0.018111654122127605,0.015257528818402782,0.01442640002769923,0.015651832032513212,0.016180257996343393,0.010790949591591444,0.017165308229907434,0.020933400750166954
teacher,0.019784392295589613,0.039406016227155616,0.03313651980675512,0.023295818944002754,0.03401802229071834,0.021247299091982842,0.0189484092591591,0.02073395680012662,0.015476996474486488,0.017570818135961366,0.01443874298229739,0.027084066195583078,0.024999492098552185,0.021704100941198436,0.023971559143213632,0.01804836939069763,0.035182839493068205,0.02210277615875001,0.012752973343169195,0.02589818665578912,0.024007356448557768,0.029074545875436904,0.023265583801496226,0.023470435061726014,0.023025114159734603
student,0.0214496483601053,0.03313651980675512,0.039406016227155616,0.02709232391458899,0.029155994314810363,0.017137320938256602,0.014841148131499188,0.016849019839416994,0.012890864389556583,0.016075985039888666,0.012739509081388843,0.024577570312592667,0.02073258632540777,0.019767861911787237,0.022760799798648822,0.0199176792780166,0.03537455829672974,0.02274532610688369,0.014304531551182463,0.023041008858558146,0.026836193559822627,0.03211000320378577,0.02615273593856358,0.0261002015952435,0.02512008365866792
actor,0.013373784800398174,0.023295818944002754,0.02709232391458899,0.039406016227155616,0.02090677668779329,0.01462757971825895,0.013416491336314756,0.01613393518829614,0.010135291608673297,0.013816391728259318,0.007233561690029512,0.019708147149242048,0.015355088306747405,0.013007985024164007,0.01914820718100514,0.011911643280803966,0.025239828272941606,0.011982090903195942,0.015353243359849084,0.02069332541726978,0.033857750160261546,0.02657194401956641,0.029847000455507547,0.016398753034657744,0.015525129292887109
doctor,0.02135686934167753,0.03401802229071834,0.029155994314810363,0.02090677668779329,0.039406016227155616,0.02319686013405268,0.021368784530932588,0.022540636543199356,0.017219380762551945,0.017295447900610186,0.014864070755131062,0.027417768301150676,0.024018514673584384,0.022199013785035547,0.026573169568661556,0.017820430028488658,0.03214295742661928,0.021594648767510254,0.014566782434712471,0.02896709413987727,0.02203197698084293,0.02740535710705902,0.021067977928209698,0.022141023582738957,0.01966629980967896
dog,0.01443437995780733,0.021247299091982842,0.017137320938256602,0.01462757971825895,0.02319686013405268,0.039406016227155616,0.033168804670171984,0.02996897216145579,0.025427451662660853,0.012349047949201601,0.021404260426330785,0.02977720440394957,0.029186927808412595,0.027020477944503782,0.02515934114493061,0.010673206142779352,0.01863744695959793,0.011928718839145067,0.009827726243663092,0.028025792008259942,0.011794088605704859,0.014828720642409945,0.009674924588555525,0.011212211086720995,0.006601512806901945
cat,0.012059181010193019,0.0189484092591591,0.014841148131499188,0.013416491336314756,0.021368784530932588,0.033168804670171984,0.039406016227155616,0.029913624503040363,0.023347513311214162,0.011091686376895307,0.01804390088834274,0.026426290029253396,0.025852753175856398,0.025582273452207854,0.024204414941493363,0.008053014546372313,0.016332340505997724,0.011616742028053968,0.005487079834668035,0.027018994559130025,0.009507092769962634,0.013119057389519698,0.0071894079438373365,0.009609267974916753,0.004098515874837096
horse,0.01068368724569152,0.02073395680012662,0.016849019839416994,0.01613393518829614,0.022540636543199356,0.02996897216145579,0.029913624503040363,0.039406016227155616,0.02449077883118441,0.011256676909451056,0.018661525477029945,0.026260072507758393,0.028806931216058866,0.02568016820547407,0.023725969542051206,0.00926575966679799,0.01761678706694147,0.009000085997395945,0.0050978406463898784,0.027353089415812975,0.01240861174015305,0.014882210785380753,0.006669204281799672,0.009391612121064472,0.0047624878122182746
bird,0.01014103039421025,0.015476996474486488,0.012890864389556583,0.010135291608673297,0.017219380762551945,0.025427451662660853,0.023347513311214162,0.02449077883118441,0.039406016227155616,0.009312184620009503,0.01957481047682356,0.020743591564981626,0.02021630615029491,0.021658741993841202,0.0209959118509603,0.005198308446778849,0.01390185414730961,0.00800793494069315,0.008677982036718705,0.019804552362788788,0.007195103719474752,0.010606740857932631,0.0066935523505003425,0.0067827742161136115,0.0014507594736731383
fish,0.014781971857272636,0.017570818135961366,0.016075985039888666,0.013816391728259318,0.017295447900610186,0.012349047949201601,0.011091686376895307,0.011256676909451056,0.009312184620009503,0.039406016227155616,0.0023855186752219856,0.01447920809872012,0.012111901302227328,0.013835198106863955,0.015228452951117175,0.007168510380407882,0.016746454164337475,0.013652843579589166,0.015563898356905297,0.01430176071842472,0.009547284348877902,0.013892609860391758,0.013822511175052916,0.012817540074003066,0.005758687257000801
star,0.010798766554630905,0.01443874298229739,0.012739509081388843,0.007233561690029512,0.014864070755131062,0.021404260426330785,0.01804390088834274,0.018661525477029945,0.01957481047682356,0.0023855186752219856,0.039406016227155616,0.01966099776941337,0.019707100703225514,0.01956434959414153,0.019179110896104187,0.009311676273834456,0.013953176436137263,0.0070093166991117214,0.013387465901371336,0.017908881870404802,0.00579007824188494,0.012795381540320581,0.006639259248119492,0.008008329690807094,0.010144876792793644
flower,0.014387007149922436,0.027084066195583078,0.024577570312592667,0.019708147149242048,0.027417768301150676,0.02977720440394957,0.026426290029253396,0.026260072507758393,0.020743591564981626,0.01447920809872012,0.01966099776941337,0.039406016227155616,0.032209954307665906,0.031227598846937862,0.03248781561198601,0.01402875592738612,0.02428417608030325,0.011558438052024299,0.012878988712015583,0.03256747903727232,0.018661126967492565,0.02098108699001696,0.017072232499988814,0.016191398103858386,0.008990658082126145
tree,0.01359683967003384,0.024999492098552185,0.02073258632540777,0.015355088306747405,0.024018514673584384,0.029186927808412595,0.025852753175856398,0.028806931216058866,0.02021630615029491,0.012111901302227328,0.019707100703225514,0.032209954307665906,0.039406016227155616,0.029954761200683085,0.028036139723425453,0.013652648172597436,0.021528584311299497,0.012509013929156394,0.010234521507564692,0.028548680364613138,0.01724826831913246,0.01845700390810384,0.01299700889138963,0.013273234101521682,0.008949667522628407
