,employee,teacher,student,actor,doctor,dog,cat,horse,bird,fish,star,flower,tree,dirt,vegetable,house,school,factory,station,park,movie,book,music,PC,TV
employee,0.04294847399292687,0.03412834232885121,0.03566633596667306,0.021790588555963355,0.019157780691188273,0.02749122856034389,0.028430675181930848,0.02536127247941202,0.021738710862201197,0.01244226162476602,0.021604909468796427,0.017232372086846144,0.02232353678610459,0.01929118733943258,0.01907441001292823,0.02366380942793915,0.03221846729617545,0.017807296504840624,0.024387370838810922,0.02342611212118246,0.02270109515900959,0.023281176023119216,0.021218698227358085,0.018100233308125033,0.019133179500315678
teacher,0.03412834232885121,0.04294847399292687,0.03768920224713236,0.018215309711636294,0.027406583498362194,0.029552868143100184,0.02998319013433519,0.024059601709987274,0.02035998589477962,0.017247153159164287,0.015025855244216964,0.021396180572161874,0.02459225553519203,0.02252837437139403,0.023449327172526128,0.022684481709835877,0.039198099791608036,0.02739583767666372,0.02687298936614681,0.02001484493804385,0.019148201425743482,0.018070045986165118,0.017042611774814326,0.016588319787821104,0.01830856113569517
student,0.03566633596667306,0.03768920224713236,0.04294847399292687,0.02470684014914122,0.0265076505645379,0.03028166864766412,0.031096165484983816,0.027314818371103878,0.02499399824370132,0.01920022571959864,0.016964357803059743,0.0234482641768908,0.023930073287457058,0.023353727310657452,0.020476361290358968,0.026846787572336033,0.03703131459652198,0.02414027232968901,0.02823451280425536,0.02387164375387646,0.022757142519425025,0.021959591128589785,0.019818923426691937,0.018791132050372767,0.021249051356646415
actor,0.021790588555963355,0.018215309711636294,0.02470684014914122,0.04294847399292687,0.02088119172547421,0.018331735466040566,0.019578276438889708,0.01778857439835923,0.01670466576845611,0.013422405547569672,0.009848222918305276,0.013829027805804858,0.012522581513923096,0.013700250331445962,0.0013895320844741973,0.024692255896961224,0.016031623605247715,0.0022185752307385884,0.018705969411804628,0.02249823314868027,0.03842086835532871,0.03476978895062789,0.03666706356758593,0.024767555899734166,0.02943789112993369
doctor,0.019157780691188273,0.027406583498362194,0.0265076505645379,0.02088119172547421,0.04294847399292687,0.022779874121691406,0.021803975157679463,0.01829333863843354,0.017421110848987724,0.02144806475466999,0.014109935536435528,0.019420591819736894,0.021249320000604754,0.020383682453298854,0.017343538676955667,0.02259895040457627,0.021832940739566806,0.03062236385084298,0.026499801482114525,0.019001579883416924,0.02165198623891312,0.020581751470167175,0.01945292108082023,0.017467382902760693,0.019981497373713086
dog,0.02749122856034389,0.029552868143100184,0.03028166864766412,0.018331735466040566,0.022779874121691406,0.04294847399292687,0.04107608646046837,0.0346671866906855,0.02607360200790893,0.0225695753309075,0.009088362108513486,0.030085600029301468,0.032968772166509126,0.03164588822095778,0.032987890477316824,0.025535773954081704,0.028934641907104573,0.020369136412402233,0.020720986080012542,0.02397043988470898,0.018540358659311425,0.018813427953567698,0.015944757010703404,0.018634122101247104,0.01968148962958335
cat,0.028430675181930848,0.02998319013433519,0.031096165484983816,0.019578276438889708,0.021803975157679463,0.04107608646046837,0.04294847399292687,0.03557783978703375,0.026434684707284307,0.02199020595317112,0.010346952402156183,0.029177544954042914,0.032066902259311435,0.030712784874415543,0.032407514481409806,0.02579266548894155,0.02944506931682197,0.0205471407984032,0.022099201614843904,0.02450550977599255,0.020102251167348772,0.020339212804028072,0.017510618804132586,0.019387340928340168,0.020657629820109463
horse,0.02536127247941202,0.024059601709987274,0.027314818371103878,0.01778857439835923,0.01829333863843354,0.0346671866906855,0.03557783978703375,0.04294847399292687,0.031733091991389656,0.025355901108317477,0.01689075569602451,0.030563987879604425,0.030053859655875908,0.030529172455161506,0.031604567268014555,0.024007876749135314,0.02524541128226027,0.023022492282404865,0.024234275561065884,0.02419959319269825,0.019808795653595685,0.01810418748385134,0.01802075718308082,0.019035899229369397,0.01988922076995146
bird,0.021738710862201197,0.02035998589477962,0.02499399824370132,0.01670466576845611,0.017421110848987724,0.02607360200790893,0.026434684707284307,0.031733091991389656,0.04294847399292687,0.03194771648867625,0.01699538844702223,0.029811811878164153,0.028380984640817116,0.02892289058041804,0.024287297119160292,0.021780087800753054,0.02258742723218399,0.01913242997276195,0.022218424043738177,0.019900237746352082,0.019050004945829743,0.015808905231067504,0.01722329600789812,0.01993309288998785,0.01904305233213028
fish,0.01244226162476602,0.017247153159164287,0.01920022571959864,0.013422405547569672,0.02144806475466999,0.0225695753309075,0.02199020595317112,0.025355901108317477,0.03194771648867625,0.04294847399292687,0.009981930057476204,0.0332440393761221,0.026039083907981764,0.033026345797956345,0.021696951571812846,0.02117385434522483,0.01391245926307244,0.02038738594113986,0.01855888530908719,0.019820940385170044,0.017554205160856783,0.014332669027818531,0.016814816022807096,0.022757116855204505,0.017942120157355534
star,0.021604909468796427,0.015025855244216964,0.016964357803059743,0.009848222918305276,0.014109935536435528,0.009088362108513486,0.010346952402156183,0.01689075569602451,0.01699538844702223,0.009981930057476204,0.04294847399292687,0.009918521249524359,0.006694681054006883,0.007421641484000735,0.007327979255004009,0.013660900562328795,0.018242623762764264,0.015134719665777976,0.021876007609084595,0.013274541844769616,0.012865022170252031,0.011418961283179374,0.013867061722452539,0.006476344986044262,0.007055316314346145
flower,0.017232372086846144,0.021396180572161874,0.0234482641768908,0.013829027805804858,0.019420591819736894,0.030085600029301468,0.029177544954042914,0.030563987879604425,0.029811811878164153,0.0332440393761221,0.009918521249524359,0.04294847399292687,0.030832777503933477,0.034568940171078755,0.027150225000532355,0.025653557678045738,0.019209697135211597,0.02133071240890585,0.019680947432268097,0.024884363500978463,0.016198155305270755,0.014376254474733195,0.014416183120976474,0.02141147507783274,0.018240942209903403
tree,0.02232353678610459,0.02459225553519203,0.023930073287457058,0.012522581513923096,0.021249320000604754,0.032968772166509126,0.032066902259311435,0.030053859655875908,0.028380984640817116,0.026039083907981764,0.006694681054006883,0.030832777503933477,0.04294847399292687,0.03787213955337283,0.03942590806279597,0.022035252844373434,0.02346967244596072,0.020824123228113983,0.017881428658323182,0.022067302993584958,0.0141391975753003,0.01288072346906281,0.012369250996943318,0.01917003418735324,0.016439431965043234
dirt,0.01929118733943258,0.02252837437139403,0.023353727310657452,0.013700250331445962,0.020383682453298854,0.03164588822095778,0.030712784874415543,0.030529172455161506,0.02892289058041804,0.033026345797956345,0.007421641484000735,0.034568940171078755,0.03787213955337283,0.04294847399292687,0.03433582657586329,0.022297878970829646,0.02085592505392487,0.02078918733737147,0.017488567547157725,0.02244499321076629,0.01589117016845193,0.014583081489190797,0.01414440122378072,0.02150883402660349,0.018155640316110642
vegetable,0.01907441001292823,0.023449327172526128,0.020476361290358968,0.0013895320844741973,0.017343538676955667,0.032987890477316824,0.032407514481409806,0.031604567268014555,0.024287297119160292,0.021696951571812846,0.007327979255004009,0.027150225000532355,0.03942590806279597,0.03433582657586329,0.04294847399292687,0.020168324158718675,0.02166470184415998,0.02003691984748147,0.022387343663863742,0.021525336698022608,0.005742189130279594,0.005916750750010427,0.003415347039435926,0.010550627666203995,0.007796306224455367
house,0.02366380942793915,0.022684481709835877,0.026846787572336033,0.024692255896961224,0.02259895040457627,0.025535773954081704,0.02579266548894155,0.024007876749135314,0.021780087800753054,0.02117385434522483,0.013660900562328795,0.025653557678045738,0.022035252844373434,0.022297878970829646,0.020168324158718675,0.04294847399292687,0.019989311795373388,0.030213554625403448,0.03013448119441628,0.03901229495684304,0.02587352940750583,0.023047101307193108,0.02261635389521369,0.027441968856745443,0.027376867536992887
