,employee,teacher,student,actor,doctor,dog,cat,horse,bird,fish,star,flower,tree,dirt,vegetable,house,school,factory,station,park,movie,book,music,PC,TV
employee,0.03643216946620315,0.029002324112168146,0.029564804174529384,0.015228692191637177,0.013107661880754067,0.010537836964729146,0.009932644250963147,0.00865051804823672,0.010336045339294445,0.012720813534369418,0.011218088963564115,0.014479196068674174,0.013274987618734732,0.010048082945237725,0.009840159668495128,0.011435866337180758,0.027493034770352295,0.03374866197659405,0.014368051240601983,0.014044138195860513,0.016375712404298956,0.014918854690505946,0.015665766081826342,0.013892405598535718,0.014449176791709834
teacher,0.029002324112168146,0.03643216946620315,0.03372021175747591,0.012089615277694286,0.013473050707583478,0.0056735409737806615,0.0054353444736957406,0.003944081420323806,0.007374088976076346,0.012676252214171187,0.011786332337648503,0.010684232958126805,0.009757716301169964,0.010237882903112196,0.01575903367370117,0.004373764217608225,0.03251484401022824,0.02863092368579011,0.012303673312493081,0.010903203159320123,0.01225873735353912,0.011684188749037011,0.009537292730111082,0.008243151973294869,0.010230062581049831
student,0.029564804174529384,0.03372021175747591,0.03643216946620315,0.011608268866523313,0.013717524174042175,0.004733247462812069,0.004551066166119985,0.0036345023584579764,0.006401910996112946,0.012817677330147343,0.01224529310301839,0.010692406019009323,0.009477482836578788,0.010370421796955794,0.01635021747881284,0.005633541505558962,0.03229597567248474,0.029224386814315394,0.012555181572728093,0.010675269856795965,0.012515806696678917,0.011095444567474771,0.010037925156596492,0.009070224726218181,0.010022599807102895
actor,0.015228692191637177,0.012089615277694286,0.011608268866523313,0.03643216946620315,0.016302979525780588,0.008964822348503015,0.009711653836879247,0.008903213833647543,0.010683186213915109,0.012300433608923161,0.009738964123672311,0.012861154959956492,0.01096817438851691,0.008499435097820602,0.009985274220304347,0.02369806996947,0.014287357005130733,0.01670938762870118,0.014239961831429625,0.012612334995899449,0.025479940174349992,0.027325897531322738,0.03240154250187766,0.02827132026665174,0.029291747483096826
doctor,0.013107661880754067,0.013473050707583478,0.013717524174042175,0.016302979525780588,0.03643216946620315,0.004004281575580443,0.004323233691119262,0.0046807003338327074,0.004987101829800167,0.01144790102063957,0.007507789226450345,0.011651706004004999,0.009529593924699417,0.011429809037564274,0.01778464334664039,0.010063894165216396,0.011663760857498116,0.012489017533604884,0.015166037743249167,0.010219672834595198,0.01603921880167011,0.014938072154370964,0.015105949243734356,0.015376671768477165,0.015460027166916385
dog,0.010537836964729146,0.0056735409737806615,0.004733247462812069,0.008964822348503015,0.004004281575580443,0.03643216946620315,0.035130900500958795,0.021421820210012814,0.030628333390436684,0.014965019203193486,0.011500165978316771,0.018290652043195552,0.024195578855857464,0.017965629086290777,0.013110738889308016,0.00578234687578422,0.004346919926642483,0.009801873043483424,0.01380515049878344,0.02327116281849679,0.011532885657227439,0.01306561301761934,0.009862732954430624,0.007971383239853875,0.0085599197205771
cat,0.009932644250963147,0.0054353444736957406,0.004551066166119985,0.009711653836879247,0.004323233691119262,0.035130900500958795,0.03643216946620315,0.02247973464109885,0.03118476414083044,0.015372459359798394,0.012002669200375331,0.018583979639157283,0.02452606293845942,0.01821574584281704,0.013105900232920815,0.006366025055238169,0.004184239208470379,0.009260942207309306,0.014114904273686831,0.02380696874468336,0.011674033035174645,0.013274045187348038,0.01036462305929228,0.008667377983548295,0.009356862466248402
horse,0.00865051804823672,0.003944081420323806,0.0036345023584579764,0.008903213833647543,0.0046807003338327074,0.021421820210012814,0.02247973464109885,0.03643216946620315,0.02237084191859766,0.020710992513655612,0.016604226255389418,0.013459798580327482,0.014599764574866291,0.01894069763238809,0.012047728786531452,0.005261599386218677,0.0027637425168735505,0.007970621182423587,0.01799758718957016,0.01691151411690755,0.009611757481882775,0.011190058542391988,0.010243980610989974,0.008557659479278553,0.009066428819311259
bird,0.010336045339294445,0.007374088976076346,0.006401910996112946,0.010683186213915109,0.004987101829800167,0.030628333390436684,0.03118476414083044,0.02237084191859766,0.03643216946620315,0.01651912174230573,0.013886822885348423,0.019113391419116013,0.025868045826252743,0.016526564397101262,0.01291777779318369,0.007270698039017726,0.005953913413846358,0.00968128501809351,0.01571426952487602,0.025400377744665664,0.011885898232049778,0.013453788592951044,0.010949199557060887,0.009478652068888021,0.010372376316789722
fish,0.012720813534369418,0.012676252214171187,0.012817677330147343,0.012300433608923161,0.01144790102063957,0.014965019203193486,0.015372459359798394,0.020710992513655612,0.01651912174230573,0.03643216946620315,0.02990747758900405,0.009287015002934853,0.010153603767405324,0.013042183273473368,0.010984769864121464,0.0066324251171225555,0.010666432663528042,0.011574479156300707,0.019919999062981447,0.01144184843440144,0.008837838977757133,0.01110802361634448,0.011571567784077315,0.010190333724011201,0.012031170370163081
